retriever,alpha,qid,ee_d,ee_r,eu,ee_d_interval
bm25,1,312,0.375,0.533333,0.2652744387861189,0.2-0.4
bm25,1,313,0.433333,0.583333,0.25409380013562544,0.4-0.6
bm25,1,315,0.141667,0.040071,0.16770794596718067,0.0-0.2
bm25,1,316,0.133333,0.166667,0.29670829508731567,0.0-0.2
bm25,1,317,0.113889,0.1,0.13166016677525255,0.0-0.2
bm25,1,318,0.155556,0.116667,0.13973113813469185,0.0-0.2
bm25,1,319,0.147222,0.0,0.07438618287841285,0.0-0.2
bm25,1,3110,0.130556,0.166667,0.202953689449759,0.0-0.2
bm25,1,3111,0.125,0.103933,0.3301274058170318,0.0-0.2
bm25,1,3112,0.138889,0.133333,0.1377985736036123,0.0-0.2
bm25,1,3114,0.111111,0.0,0.0,0.0-0.2
bm25,1,3115,0.125,0.166667,0.1864097389703632,0.0-0.2
bm25,1,3117,0.127778,0.416667,0.3168780803886873,0.0-0.2
bm25,1,3118,0.138889,0.2,0.07182943971689174,0.0-0.2
bm25,1,3119,0.111111,0.083333,0.20357498104793717,0.0-0.2
bm25,1,3120,0.116667,0.083333,0.013888888359788397,0.0-0.2
bm25,1,3121,0.119444,0.066667,0.09464285645006384,0.0-0.2
bm25,1,3122,0.133333,0.116667,0.12179150398447404,0.0-0.2
bm25,1,3123,0.130556,0.040071,0.20818314360871143,0.0-0.2
bm25,1,3124,0.15,0.166667,0.2856579050844485,0.0-0.2
bm25,1,3125,0.152778,0.133333,0.038074710909259964,0.0-0.2
bm25,1,3126,0.127778,0.1,0.08704757352359441,0.0-0.2
bm25,1,3127,0.125,0.054902,0.15013684038943564,0.0-0.2
bm25,1,3128,0.111111,0.25,0.15667829451099222,0.0-0.2
bm25,1,3129,0.1,0.1,0.20229894320455463,0.0-0.2
bm25,1,3130,0.102778,0.033333,0.019774010159383838,0.0-0.2
bm25,1,3131,0.122222,0.166667,0.06819044038447229,0.0-0.2
bm25,1,3132,0.102778,0.4,0.3255394236098294,0.0-0.2
bm25,1,3133,0.113889,0.45,0.2774824500658962,0.0-0.2
bm25,1,3134,0.097222,0.35,0.3937656150611819,0.0-0.2
bm25,1,3135,0.097222,0.05,0.2350101935282128,0.0-0.2
bm25,1,3136,0.108333,0.033333,0.5560376676590323,0.0-0.2
bm25,1,3138,0.119444,0.333333,0.1418229276493049,0.0-0.2
bm25,1,3139,0.108333,0.183333,0.28483818368335156,0.0-0.2
bm25,1,3140,0.097222,0.116667,0.10732145661406646,0.0-0.2
bm25,1,3141,0.102778,0.483333,0.36913790356122866,0.0-0.2
bm25,1,3142,0.102778,0.433333,0.46718419813115475,0.0-0.2
bm25,1,3143,0.111111,0.1,0.07731330963225229,0.0-0.2
bm25,1,3144,0.119444,0.027564,0.17619047272823157,0.0-0.2
bm25,1,3145,0.102778,0.066667,0.03529411412468935,0.0-0.2
bm25,1,3146,0.113889,0.383333,0.20589599872212658,0.0-0.2
bm25,1,3147,0.097222,0.383333,0.12271757596982912,0.0-0.2
bm25,1,3148,0.111111,0.483333,0.26941325531821764,0.0-0.2
bm25,1,3149,0.122222,0.416667,0.3183379868808234,0.0-0.2
bm25,1,3150,0.102778,0.45,0.41498385737399157,0.0-0.2
bm25,1,3151,0.108333,0.033333,0.08535925425954281,0.0-0.2
bm25,1,3152,0.108333,0.033333,0.106766488902432,0.0-0.2
bm25,1,3153,0.111111,0.216667,0.1705876258385403,0.0-0.2
bm25,1,3154,0.122222,0.283333,0.2091375859325849,0.0-0.2
bm25,1,3155,0.1,0.583333,0.31186073127641195,0.0-0.2
bm25,1,3156,0.116667,0.45,0.40446836991288826,0.0-0.2
bm25,1,3157,0.111111,0.041606,0.05378551512822347,0.0-0.2
bm25,1,3158,0.111111,0.35,0.11130522037120948,0.0-0.2
bm25,1,3159,0.097222,0.416667,0.2977601704852127,0.0-0.2
bm25,1,3160,0.113889,0.15,0.18946337345020275,0.0-0.2
bm25,1,3161,0.102778,0.183333,0.17650872760922015,0.0-0.2
bm25,1,3162,0.122222,0.316667,0.1822200692902686,0.0-0.2
bm25,1,3164,0.536111,0.783333,0.4370232328220633,0.4-0.6
bm25,1,3165,0.636111,0.85,1.0,0.6-0.8
bm25,1,3167,0.258333,0.210526,0.13900282561434704,0.2-0.4
bm25,1,3169,0.238889,0.144195,0.09377591173953062,0.2-0.4
bm25,1,3170,0.261111,0.166667,0.08479532094647073,0.2-0.4
bm25,1,3171,0.3,0.733333,0.4512992181029255,0.2-0.4
bm25,1,3172,0.130556,0.4,0.23826809437636937,0.0-0.2
bm25,1,3173,0.133333,0.054645,0.0,0.0-0.2
