timestamp,query_count,total_queries,new_this_run,retriever,alpha,suffix,run_tag,mean_ee_d,mean_ee_r,mean_eu
2026-03-26T21:38:48,10,833,10,bm25,1,_mmr_lambda_0p6,,1.000000,0.140000,0.021475
2026-03-26T21:39:14,20,833,20,bm25,1,_mmr_lambda_0p6,,1.000000,0.134043,0.028840
2026-03-26T21:39:51,30,833,30,bm25,1,_mmr_lambda_0p6,,1.000000,0.176028,0.025545
2026-03-26T21:40:32,40,833,40,bm25,1,_mmr_lambda_0p6,,1.000000,0.197021,0.034476
2026-03-26T21:41:11,50,833,50,bm25,1,_mmr_lambda_0p6,,1.000000,0.201617,0.036040
2026-03-26T21:41:46,60,833,60,bm25,1,_mmr_lambda_0p6,,1.000000,0.238014,0.041986
2026-03-26T21:42:06,70,833,70,bm25,1,_mmr_lambda_0p6,,1.000000,0.244012,0.037969
2026-03-26T21:42:30,80,833,80,bm25,1,_mmr_lambda_0p6,,1.000000,0.236011,0.034807
2026-03-26T21:42:52,90,833,90,bm25,1,_mmr_lambda_0p6,,1.000000,0.265172,0.034391
2026-03-26T21:43:16,100,833,100,bm25,1,_mmr_lambda_0p6,,1.000000,0.291567,0.038506
2026-03-26T21:43:28,110,833,110,bm25,1,_mmr_lambda_0p6,,1.000000,0.320385,0.042034
