timestamp,query_count,total_queries,new_this_run,retriever,alpha,suffix,run_tag,mean_ee_d,mean_ee_r,mean_eu
2026-03-27T16:40:39,10,833,10,bm25,8,plain,balanced,0.976667,0.138333,0.013696
2026-03-27T16:41:21,20,833,20,bm25,8,plain,balanced,0.961250,0.134043,0.021554
2026-03-27T16:42:09,30,833,30,bm25,8,plain,balanced,0.959444,0.183806,0.019218
2026-03-27T16:42:32,40,833,40,bm25,8,plain,balanced,0.968194,0.197855,0.027268
2026-03-27T16:43:07,50,833,50,bm25,8,plain,balanced,0.966333,0.208617,0.030276
2026-03-27T16:43:35,60,833,60,bm25,8,plain,balanced,0.966759,0.240792,0.037705
2026-03-27T16:44:03,70,833,70,bm25,8,plain,balanced,0.968611,0.247345,0.033747
2026-03-27T16:44:47,80,833,80,bm25,8,plain,balanced,0.968056,0.241011,0.030730
2026-03-27T16:45:19,90,833,90,bm25,8,plain,balanced,0.969691,0.271283,0.031210
2026-03-27T16:45:55,100,833,100,bm25,8,plain,balanced,0.971056,0.296900,0.036575
2026-03-27T16:46:34,110,833,110,bm25,8,plain,balanced,0.966793,0.324586,0.039252
2026-03-27T16:47:32,120,833,120,bm25,8,plain,balanced,0.967338,0.321426,0.039710
2026-03-27T16:48:05,130,833,130,bm25,8,plain,balanced,0.968803,0.326957,0.046991
2026-03-27T16:48:49,140,833,140,bm25,8,plain,balanced,0.968948,0.320865,0.049089
2026-03-27T16:50:14,150,833,150,bm25,8,plain,balanced,0.964981,0.316474,0.052586
2026-03-27T16:51:33,160,833,160,bm25,8,plain,balanced,0.960885,0.320444,0.051784
2026-03-27T16:52:20,170,833,170,bm25,8,plain,balanced,0.961046,0.319144,0.052638
2026-03-27T16:54:48,180,833,180,bm25,8,plain,balanced,0.948441,0.324284,0.055871
2026-03-27T16:56:11,190,833,190,bm25,8,plain,balanced,0.947734,0.323776,0.057241
2026-03-27T16:57:11,200,833,200,bm25,8,plain,balanced,0.949167,0.324588,0.055975
2026-03-27T16:58:12,210,833,210,bm25,8,plain,balanced,0.950106,0.316829,0.055244
2026-03-27T16:58:41,220,833,220,bm25,8,plain,balanced,0.951578,0.318413,0.054916
2026-03-27T16:59:30,230,833,230,bm25,8,plain,balanced,0.953068,0.323954,0.055414
2026-03-27T17:00:21,240,833,240,bm25,8,plain,balanced,0.953032,0.324400,0.054759
2026-03-27T17:00:55,250,833,250,bm25,8,plain,balanced,0.953933,0.322424,0.054345
2026-03-27T17:01:34,260,833,260,bm25,8,plain,balanced,0.955032,0.323933,0.054069
2026-03-27T17:02:08,270,833,270,bm25,8,plain,balanced,0.956379,0.322306,0.053672
2026-03-27T17:02:59,280,833,280,bm25,8,plain,balanced,0.956508,0.326063,0.053228
2026-03-27T17:03:44,290,833,290,bm25,8,plain,balanced,0.956293,0.322348,0.052794
2026-03-27T17:04:16,300,833,300,bm25,8,plain,balanced,0.956528,0.316270,0.051405
2026-03-27T17:04:59,310,833,310,bm25,8,plain,balanced,0.956729,0.309739,0.050624
