timestamp,query_count,total_queries,new_this_run,retriever,alpha,suffix,run_tag,mean_ee_d,mean_ee_r,mean_eu
2026-04-03T21:02:46,10,all,10,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.140000,0.048856
2026-04-03T21:02:51,20,all,20,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.134043,0.043742
2026-04-03T21:02:54,30,all,30,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.182695,0.036596
2026-04-03T21:02:58,40,all,40,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.197021,0.039627
2026-04-03T21:03:02,50,all,50,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.205617,0.035468
2026-04-03T21:03:06,60,all,60,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.238014,0.036998
2026-04-03T21:03:10,70,all,70,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.244012,0.038710
2026-04-03T21:03:14,80,all,80,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.238511,0.036652
2026-04-03T21:03:20,90,all,90,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.269616,0.037713
2026-04-03T21:03:25,100,all,100,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.295567,0.045068
2026-04-03T21:03:29,110,all,110,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.324021,0.046599
2026-04-03T21:03:34,120,all,120,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.320353,0.044833
2026-04-03T21:03:38,130,all,130,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.326479,0.047189
2026-04-03T21:03:42,140,all,140,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.320302,0.046664
2026-04-03T21:03:46,150,all,150,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.317615,0.047325
2026-04-03T21:03:51,160,all,160,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.321514,0.049654
2026-04-03T21:03:56,170,all,170,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.320249,0.049812
2026-04-03T21:04:00,180,all,180,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.325791,0.055830
2026-04-03T21:04:05,190,all,190,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.325993,0.055602
2026-04-03T21:04:09,200,all,200,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.326694,0.055726
2026-04-03T21:04:14,210,all,210,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.318756,0.056348
2026-04-03T21:04:18,220,all,220,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.320631,0.055191
2026-04-03T21:04:23,230,all,230,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.326220,0.056074
2026-04-03T21:04:27,240,all,240,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.326155,0.055569
2026-04-03T21:04:31,250,all,250,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.324309,0.054666
2026-04-03T21:04:35,260,all,260,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.325681,0.052913
2026-04-03T21:04:38,270,all,270,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.323990,0.052001
2026-04-03T21:04:43,280,all,280,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.327449,0.053079
2026-04-03T21:04:46,290,all,290,bm25,1,_deterministic,control_lfm25MLX12B4bit_bm25,1.000000,0.323743,0.053048
