timestamp,query_count,total_queries,new_this_run,retriever,alpha,suffix,run_tag,mean_ee_d,mean_ee_r,mean_eu
2026-04-04T14:43:46,10,all,10,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.526944,0.992116,0.061520
2026-04-04T14:44:25,20,all,20,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.489306,0.992228,0.062451
2026-04-04T14:45:03,30,all,30,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.440648,0.994427,0.053861
2026-04-04T14:45:42,40,all,40,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.413542,0.995628,0.054887
2026-04-04T14:46:21,50,all,50,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.386167,0.996502,0.052464
2026-04-04T14:47:03,60,all,60,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.382130,0.994429,0.057659
2026-04-04T14:47:44,70,all,70,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.397778,0.994830,0.061530
2026-04-04T14:48:23,80,all,80,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.408333,0.994779,0.059272
2026-04-04T14:49:08,90,all,90,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.430401,0.990243,0.062488
2026-04-04T14:50:01,100,all,100,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.447778,0.989464,0.069338
2026-04-04T14:50:47,110,all,110,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.467727,0.984731,0.067829
2026-04-04T14:51:33,120,all,120,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.440556,0.986004,0.065486
2026-04-04T14:52:17,130,all,130,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.427799,0.987080,0.068236
2026-04-04T14:53:02,140,all,140,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.413909,0.988003,0.069356
2026-04-04T14:53:48,150,all,150,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.399463,0.988803,0.068822
2026-04-04T14:54:35,160,all,160,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.381962,0.989503,0.067483
2026-04-04T14:55:22,170,all,170,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.376716,0.990108,0.068404
2026-04-04T14:56:11,180,all,180,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.368333,0.990657,0.070222
2026-04-04T14:56:57,190,all,190,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.362442,0.991111,0.071302
2026-04-04T14:57:43,200,all,200,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.353014,0.991556,0.070595
2026-04-04T14:58:36,210,all,210,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.347659,0.991958,0.070149
2026-04-04T14:59:26,220,all,220,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.341098,0.992323,0.069280
2026-04-04T15:00:28,230,all,230,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.347319,0.992185,0.070592
2026-04-04T15:01:19,240,all,240,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.348194,0.992454,0.071599
2026-04-04T15:01:59,250,all,250,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.341622,0.992756,0.071141
2026-04-04T15:02:39,260,all,260,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.334904,0.993034,0.070448
2026-04-04T15:03:22,270,all,270,gold,8,plain,control_lfm25MLX12B4bit_bm25,0.329156,0.993292,0.069930
