timestamp,query_count,total_queries,new_this_run,retriever,alpha,suffix,run_tag,mean_ee_d,mean_ee_r,mean_eu
2026-04-06T16:11:27,10,all,10,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.252632,0.000000
2026-04-06T16:11:40,20,all,20,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.233359,0.000000
2026-04-06T16:11:50,30,all,30,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.226357,0.000000
2026-04-06T16:11:59,40,all,40,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.211986,0.000000
2026-04-06T16:12:05,50,all,50,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.192907,0.020000
2026-04-06T16:12:14,60,all,60,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.194674,0.016667
2026-04-06T16:12:20,70,all,70,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.206111,0.028571
2026-04-06T16:12:25,80,all,80,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.226958,0.037500
2026-04-06T16:12:31,90,all,90,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.222761,0.033333
2026-04-06T16:12:35,100,all,100,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.247379,0.040000
2026-04-06T16:12:46,110,all,110,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.266443,0.054545
2026-04-06T16:12:59,120,all,120,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.250906,0.058333
2026-04-06T16:13:17,130,all,130,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.238414,0.053846
2026-04-06T16:13:23,140,all,140,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.249451,0.050000
2026-04-06T16:13:28,150,all,150,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.256406,0.046667
2026-04-06T16:13:34,160,all,160,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.256768,0.043750
2026-04-06T16:13:39,170,all,170,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,1.000000,0.257446,0.041176
2026-04-06T16:13:44,180,all,180,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,0.997778,0.261550,0.038889
2026-04-06T16:13:51,190,all,190,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,0.997895,0.278077,0.036842
2026-04-06T16:13:52,192,all,192,bm25,1,_mmr_deterministic_lambda035,control_flanT5Small_bm25_lamp2_mmr035,0.997917,0.283609,0.036458
