timestamp,query_count,total_queries,new_this_run,retriever,alpha,suffix,run_tag,mean_ee_d,mean_ee_r,mean_eu
2026-04-06T16:20:43,10,all,10,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.273600,0.214529,0.180000
2026-04-06T16:21:09,20,all,20,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.267800,0.220741,0.230000
2026-04-06T16:21:40,30,all,30,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.246933,0.208613,0.196667
2026-04-06T16:22:07,40,all,40,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.244100,0.202433,0.165000
2026-04-06T16:22:36,50,all,50,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.238320,0.186186,0.156000
2026-04-06T16:23:10,60,all,60,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.237267,0.188731,0.133333
2026-04-06T16:23:43,70,all,70,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.245314,0.203881,0.125714
2026-04-06T16:24:24,80,all,80,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.265400,0.213907,0.142500
2026-04-06T16:25:03,90,all,90,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.264133,0.218966,0.126667
2026-04-06T16:25:30,100,all,100,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.280360,0.232277,0.150000
2026-04-06T16:25:56,110,all,110,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.286000,0.246099,0.153636
2026-04-06T16:26:25,120,all,120,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.272933,0.230258,0.155833
2026-04-06T16:26:57,130,all,130,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.261815,0.220523,0.151538
2026-04-06T16:27:34,140,all,140,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.270686,0.221915,0.150000
2026-04-06T16:28:00,150,all,150,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.282400,0.233357,0.166000
2026-04-06T16:28:26,160,all,160,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.282550,0.234859,0.168125
2026-04-06T16:28:57,170,all,170,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.284471,0.233078,0.161176
2026-04-06T16:29:33,180,all,180,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.290911,0.237317,0.167778
2026-04-06T16:30:10,190,all,190,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.297811,0.253410,0.171053
2026-04-06T16:30:17,192,all,192,bm25,1,plain,control_flanT5Base_bm25_lamp2,0.299729,0.258091,0.171875
