timestamp,query_count,total_queries,new_this_run,retriever,alpha,suffix,run_tag,mean_ee_d,mean_ee_r,mean_eu
2026-04-06T16:59:45,10,all,10,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.252632,0.100000
2026-04-06T16:59:57,20,all,20,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.233359,0.150000
2026-04-06T17:00:00,30,all,30,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.226357,0.166667
2026-04-06T17:00:05,40,all,40,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.211986,0.150000
2026-04-06T17:00:10,50,all,50,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.192907,0.140000
2026-04-06T17:00:17,60,all,60,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.194674,0.116667
2026-04-06T17:00:22,70,all,70,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.206111,0.114286
2026-04-06T17:00:29,80,all,80,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.226958,0.112500
2026-04-06T17:00:34,90,all,90,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.222761,0.100000
2026-04-06T17:00:37,100,all,100,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.247379,0.140000
2026-04-06T17:00:45,110,all,110,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.266443,0.145455
2026-04-06T17:00:58,120,all,120,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.250906,0.150000
2026-04-06T17:01:09,130,all,130,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.238414,0.146154
2026-04-06T17:01:15,140,all,140,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.249451,0.142857
2026-04-06T17:01:19,150,all,150,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.256406,0.146667
2026-04-06T17:01:24,160,all,160,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.256768,0.137500
2026-04-06T17:01:29,170,all,170,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,1.000000,0.257446,0.129412
2026-04-06T17:01:36,180,all,180,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,0.997778,0.261550,0.138889
2026-04-06T17:01:41,190,all,190,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,0.997895,0.278077,0.142105
2026-04-06T17:01:42,192,all,192,bm25,1,_mmr_deterministic_lambda035,control_flanT5Base_bm25_lamp2_mmr035,0.997917,0.283609,0.140625
